"marine_site_name","lat","long","geometry","segment_id"
"Sandhill Bluff",36.9801712,-122.15503,c(-122.15503, 36.9801712),7
"Santa Maria Creek",38.01242828,-122.84915,c(-122.84915, 38.01242828),5
"Saunders Reef",38.86138153,-123.65361,c(-123.65361, 38.86138153),3
"Scott Creek",37.04425049,-122.23493,c(-122.23493, 37.04425049),7
"Scripps Reef",32.8716507,-117.25328,c(-117.25328, 32.8716507),14
"Sea Ranch",38.73049927,-123.48864,c(-123.48864, 38.73049927),4
"Sea Ridge",32.80799103,-117.26793,c(-117.26793, 32.80799103),14
"Sequit Point",34.04322815,-118.937,c(-118.937, 34.04322815),12
"Shaws Cove",33.54476929,-117.79941,c(-117.79941, 33.54476929),14
"Shell Beach",35.1688118,-120.69668,c(-120.69668, 35.1688118),10
"Shell Beach Silvetia",35.1684761,-120.69619,c(-120.69619, 35.1684761),10
"Shelter Cove",40.02254105,-124.07366,c(-124.07366, 40.02254105),2
"Stairs",34.73038101,-120.61546,c(-120.61546, 34.73038101),10
"Stewarts Point",38.61363983,-123.36753,c(-123.36753, 38.61363983),4
"Stillwater",36.56087112,-121.94053,c(-121.94053, 36.56087112),8
"Stornetta",38.93787003,-123.7288,c(-123.7288, 38.93787003),3
"Sunset Cliffs",32.71913147,-117.25683,c(-117.25683, 32.71913147),NA
"Tarantulas",34.4946022,-120.4956,c(-120.4956, 34.4946022),10
"Terrace Point",36.94841003,-122.06457,c(-122.06457, 36.94841003),7
"Treasure Island",33.51335144,-117.75793,c(-117.75793, 33.51335144),14
"Vista del Mar",35.60414124,-121.14232,c(-121.14232, 35.60414124),9
"White Point",33.71538925,-118.31961,c(-118.31961, 33.71538925),13
"Wilder Ranch",36.94915009,-122.10383,c(-122.10383, 36.94915009),7
"Wind and Sea",32.83285141,-117.28231,c(-117.28231, 32.83285141),14
"Windermere Point",38.52394104,-123.26747,c(-123.26747, 38.52394104),4
